City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (Inches),Snow (Inches)
194,Russell,US,32.35,-85.2,93.2,40,40,17.22,scattered clouds,0.0,0
195,Yashan,CN,22.2,109.94,78.85,93,100,5.14,light rain,0.12,0
196,Vaitape,PF,-16.52,-151.75,78.96,75,98,20.51,overcast clouds,0.0,0
197,Castro,BR,-24.79,-50.01,68.61,66,0,10.33,clear sky,0.0,0
198,Coronado,US,32.69,-117.18,91.0,65,20,13.87,few clouds,0.0,0
199,Qianan,CN,44.99,124.06,68.83,75,0,6.33,clear sky,0.0,0
200,Tecoanapa,MX,16.52,-98.75,78.46,90,100,6.13,light rain,0.26,0
201,Oriximina,BR,-1.77,-55.87,89.55,56,12,4.36,few clouds,0.0,0
202,Port Shepstone,ZA,-30.74,30.45,61.16,50,0,28.14,clear sky,0.0,0
203,Saint-Philippe,RE,-21.36,55.77,68.0,77,20,8.05,few clouds,0.0,0
204,Prince Rupert,CA,54.32,-130.32,55.4,87,90,6.93,light rain,0.0,0
205,Noumea,NC,-22.28,166.46,66.99,93,20,6.89,few clouds,0.0,0
206,Tuatapere,NZ,-46.13,167.68,46.27,84,95,6.35,overcast clouds,0.0,0
207,Roebourne,AU,-20.78,117.13,64.67,31,0,17.69,clear sky,0.0,0
208,Chokurdakh,RU,70.63,147.92,46.76,75,81,9.15,broken clouds,0.0,0
209,Ometepec,MX,16.68,-98.42,77.83,86,98,3.42,light rain,0.19,0
210,Apomu,NG,7.33,4.18,72.93,97,100,3.38,light rain,0.61,0
211,Khorramabad,IR,33.49,48.36,77.02,18,0,3.56,clear sky,0.0,0
212,Awjilah,LY,29.11,21.29,82.45,39,0,15.84,clear sky,0.0,0
213,Butaritari,KI,3.07,172.79,83.61,77,96,13.06,overcast clouds,0.0,0
214,Lata,PT,40.16,-8.33,87.01,57,100,3.13,moderate rain,1.65,0
215,Yunyang,CN,33.45,112.71,68.56,90,100,10.71,moderate rain,1.99,0
216,Walvis Bay,NA,-22.96,14.51,57.0,76,0,8.05,clear sky,0.0,0
217,Barrancabermeja,CO,7.07,-73.85,82.4,74,40,4.7,scattered clouds,0.0,0
218,Kargasok,RU,59.06,80.86,60.84,79,62,8.3,broken clouds,0.0,0
219,Saint-Pierre,RE,-21.34,55.48,68.0,77,20,8.05,few clouds,0.0,0
220,Cap Malheureux,MU,-19.98,57.61,72.0,59,87,8.99,light rain,0.15,0
221,Tonder,DK,54.93,8.87,59.0,62,0,13.87,clear sky,0.0,0
222,Kuminskiy,RU,58.67,66.57,65.44,70,0,8.32,clear sky,0.0,0
223,Faanui,PF,-16.48,-151.75,78.13,77,100,20.62,overcast clouds,0.0,0
224,Tiksi,RU,71.69,128.87,46.58,92,100,2.86,light rain,0.41,0
225,Kokstad,ZA,-30.55,29.42,39.63,70,0,13.87,clear sky,0.0,0
226,Haines Junction,CA,60.75,-137.51,53.56,62,100,3.49,overcast clouds,0.0,0
227,Tallahassee,US,30.44,-84.28,95.0,56,40,14.99,scattered clouds,0.0,0
228,Ponta Do Sol,PT,32.67,-17.1,72.0,68,0,1.99,clear sky,0.0,0
229,Bambous Virieux,MU,-20.34,57.76,72.0,68,40,19.46,shower rain,0.0,0
230,Gubkinskiy,RU,64.43,76.5,59.86,63,23,9.37,few clouds,0.0,0
231,Trelew,AR,-43.25,-65.31,46.69,50,0,32.73,clear sky,0.0,0
232,Geraldton,AU,-28.77,114.6,48.2,39,0,13.87,clear sky,0.0,0
233,Hun,LY,29.13,15.95,87.78,20,0,12.1,clear sky,0.0,0
234,Mecca,SA,21.43,39.83,90.73,14,0,7.07,clear sky,0.0,0
235,Sakakah,SA,29.97,40.21,100.4,11,0,10.29,clear sky,0.0,0
236,Coahuayana,MX,18.73,-103.68,77.0,88,90,6.87,overcast clouds,0.0,0
237,Codrington,AU,-38.27,141.97,45.52,91,32,4.59,scattered clouds,0.0,0
238,Port Blair,IN,11.67,92.75,82.24,79,100,9.71,light rain,0.16,0
239,Hami,CN,42.8,93.45,80.51,25,100,7.7,overcast clouds,0.0,0
240,Khorixas,NA,-20.37,14.97,51.93,47,0,3.02,clear sky,0.0,0
241,Qui Nhon,VN,13.77,109.23,79.86,82,100,3.8,overcast clouds,0.0,0
242,Weston-Super-Mare,GB,51.35,-2.98,66.99,63,10,9.17,clear sky,0.0,0
243,Sri Aman,MY,1.24,111.46,75.2,94,98,0.36,overcast clouds,0.0,0
244,Bathsheba,BB,13.22,-59.52,84.2,79,75,18.34,shower rain,0.0,0
245,Bodrum,TR,37.04,27.43,78.8,83,0,12.75,clear sky,0.0,0
246,Lethem,GY,3.38,-59.8,85.6,69,98,4.43,light rain,0.47,0
247,Oktyabrskiy,RU,54.48,53.47,64.56,92,0,5.57,clear sky,0.0,0
248,Tsaratanana,MG,-16.78,47.65,67.46,66,0,13.82,clear sky,0.0,0
249,Hanzhong,CN,33.07,107.03,67.48,89,100,1.01,overcast clouds,0.0,0
250,Havre-Saint-Pierre,CA,50.23,-63.6,78.8,61,1,10.29,clear sky,0.0,0
251,Upernavik,GL,72.79,-56.15,41.86,82,4,4.9,clear sky,0.0,0
252,Chinsali,ZM,-10.54,32.08,62.67,47,0,6.24,clear sky,0.0,0
253,Dayong,CN,25.02,118.29,84.2,83,89,8.95,overcast clouds,0.0,0
254,Nanortalik,GL,60.14,-45.24,44.01,91,98,11.45,overcast clouds,0.0,0
255,Bandar-E Lengeh,IR,26.56,54.88,93.2,79,100,6.93,haze,0.0,0
256,Narasannapeta,IN,18.42,84.05,83.43,82,100,9.71,light rain,0.59,0
257,Bria,CF,6.54,21.99,70.12,94,100,3.09,overcast clouds,0.0,0
258,Kohima,IN,25.67,94.12,65.3,100,100,3.18,light rain,0.64,0
259,Constitucion,CL,-35.33,-72.42,52.7,62,100,8.21,overcast clouds,0.0,0
260,Saldanha,ZA,-33.01,17.94,50.0,71,86,2.24,overcast clouds,0.0,0
261,College,US,64.86,-147.8,61.0,54,75,4.65,broken clouds,0.0,0
262,San Patricio,MX,19.22,-104.7,86.0,74,75,11.41,broken clouds,0.0,0
263,Salalah,OM,17.02,54.09,80.6,100,90,5.82,light intensity drizzle,0.0,0
264,Berdigestyakh,RU,62.1,126.7,64.02,93,1,7.74,clear sky,0.0,0
265,Isangel,VU,-19.55,169.27,69.71,84,4,13.51,clear sky,0.0,0
266,Moa,CU,20.66,-74.94,84.33,76,100,9.31,light rain,0.99,0
267,Chuy,UY,-33.7,-53.46,52.02,55,0,5.14,clear sky,0.0,0
268,Benton Harbor,US,42.12,-86.45,80.6,61,40,13.87,scattered clouds,0.0,0
269,Rio Grande,BR,-32.03,-52.1,60.8,55,0,4.7,clear sky,0.0,0
270,Lagos,NG,6.58,3.75,78.8,83,40,4.7,scattered clouds,0.0,0
271,Abu Dhabi,AE,24.47,54.37,96.8,63,100,5.82,overcast clouds,0.0,0
272,Ust-Kuyga,RU,70.02,135.6,67.64,54,99,4.47,overcast clouds,0.0,0
273,Rosetta,EG,31.4,30.42,78.8,74,0,11.41,clear sky,0.0,0
274,Krasnoselkup,RU,65.7,82.47,53.11,77,0,8.46,clear sky,0.0,0
275,Upata,VE,8.01,-62.4,80.01,85,100,4.27,moderate rain,2.93,0
276,Palu,ID,-0.89,119.87,75.92,80,90,1.77,light rain,0.15,0
277,Marion,US,39.77,-86.16,86.0,48,20,9.17,few clouds,0.0,0
278,Mbandaka,CD,0.05,18.26,72.93,88,100,1.34,overcast clouds,0.0,0
279,Sao Joao Da Barra,BR,-21.64,-41.05,77.0,57,0,16.11,clear sky,0.0,0
280,Vila Franca Do Campo,PT,37.72,-25.43,71.6,64,75,6.93,broken clouds,0.0,0
281,Nizwa,OM,22.93,57.53,91.67,44,92,8.75,overcast clouds,0.0,0
282,Lebu,CL,-37.62,-73.65,51.66,79,100,12.84,light rain,0.17,0
283,Coihaique,CL,-45.58,-72.07,39.2,55,40,6.93,scattered clouds,0.0,0
284,Bonthe,SL,7.53,-12.51,75.76,89,100,9.06,moderate rain,1.04,0
285,Banja Luka,BA,44.78,17.19,82.4,48,20,16.11,few clouds,0.0,0
286,Yushan,CN,31.38,120.95,79.0,94,75,6.71,broken clouds,0.0,0
287,Arlit,NE,18.74,7.39,100.87,13,0,4.38,clear sky,0.0,0
288,Kjollefjord,NO,70.95,27.35,51.8,76,98,5.82,overcast clouds,0.0,0
289,Ixtapa,MX,20.7,-105.2,90.0,74,75,10.29,broken clouds,0.0,0
290,Roma,US,43.21,-75.46,84.2,66,75,4.7,broken clouds,0.0,0
291,Batagay,RU,67.63,134.63,65.23,46,96,3.69,overcast clouds,0.0,0
292,Sydney,AU,-33.87,151.21,53.01,93,20,10.29,fog,0.0,0
293,Saint George,US,37.1,-113.58,100.99,15,1,3.36,clear sky,0.0,0
294,Boende,CD,-0.22,20.87,74.84,86,100,0.29,overcast clouds,0.0,0
295,Egvekinot,RU,66.32,-179.17,54.9,53,89,3.09,overcast clouds,0.0,0
296,Souillac,MU,-20.52,57.52,69.8,68,40,19.46,shower rain,0.0,0
297,Yarmouth,US,41.71,-70.23,82.99,78,90,10.29,overcast clouds,0.0,0
298,Puerto Del Rosario,ES,28.5,-13.86,75.2,83,2,18.34,clear sky,0.0,0
299,Berlevag,NO,70.86,29.09,51.8,76,79,5.82,broken clouds,0.0,0
300,Catamarca,AR,-28.47,-65.79,66.99,56,0,4.0,clear sky,0.0,0
301,Ulaanbaatar,MN,47.91,106.88,53.6,87,70,0.87,broken clouds,0.0,0
302,Porto-Vecchio,FR,41.59,9.28,82.4,65,0,13.87,clear sky,0.0,0
303,Beeville,US,28.4,-97.75,95.0,59,1,6.93,clear sky,0.0,0
304,Takoradi,GH,4.88,-1.76,75.45,86,52,8.61,broken clouds,0.0,0
305,Mount Isa,AU,-20.73,139.5,57.2,44,2,10.29,clear sky,0.0,0
306,Plouzane,FR,48.38,-4.62,66.2,59,0,11.41,clear sky,0.0,0
307,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,77.0,81,17,10.31,light rain,0.26,0
308,Caravelas,BR,-17.71,-39.25,76.05,70,0,5.91,clear sky,0.0,0
309,Cidreira,BR,-30.18,-50.21,58.66,90,100,3.33,overcast clouds,0.0,0
310,Bengkulu,ID,-3.8,102.27,76.08,87,30,3.94,scattered clouds,0.0,0
311,Shihezi,CN,44.3,86.03,70.88,48,23,7.76,few clouds,0.0,0
312,Pervomayskoye,RU,43.92,46.71,77.31,54,6,1.54,clear sky,0.0,0
