,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
357,Bandarbeyla,SO,79.18,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
359,Loviisa,FI,57.0,overcast clouds,60.46,26.23,Loviisa Camping
360,Flin Flon,CA,69.8,light intensity shower rain,54.77,-101.86,Victoria Inn Flin Flon
362,Brokopondo,SR,87.1,clear sky,4.75,-55.17,Matu Island
363,Nsanje,MW,72.86,clear sky,-16.92,35.26,Nsanje Discovery Lodge
364,Chekhov,RU,73.4,clear sky,55.14,37.47,Usad'ba Peshkovo
365,Quatre Cocos,MU,72.0,shower rain,-20.21,57.76,One&Only Le Saint Géran
366,Nanakuli,US,80.6,broken clouds,21.39,-158.15,Camp Palehua
367,Mino,JP,75.99,overcast clouds,34.83,135.47,Senri Hankyu Hotel Osaka
368,Mehkar,IN,79.92,scattered clouds,20.15,76.57,Chintamani Lodge
369,Zabaykalsk,RU,63.55,broken clouds,49.63,117.32,Manzhouli Aolong Business Hotel
370,Metro,ID,73.76,overcast clouds,-5.11,105.31,OYO 3177 Wisma Lintang
371,Shieli,KZ,82.98,clear sky,44.17,66.75,Gostinitsa Aybek Shieli
372,Huarmey,PE,67.15,few clouds,-10.07,-78.15,Hotel Miramar
374,Saint Anthony,US,84.2,clear sky,45.02,-93.22,Days Hotel by Wyndham University Ave SE
375,Escanaba,US,82.0,scattered clouds,45.75,-87.06,Sunset Lodge
376,Road Town,VG,89.6,scattered clouds,18.42,-64.62,Wyndham Tortola BVI Lambert Beach Resort
378,Olenino,RU,58.62,overcast clouds,56.21,33.49,Kolos
379,Centralia,US,66.2,overcast clouds,46.72,-122.95,Peppermill Inn
381,Alofi,NU,73.4,overcast clouds,-19.06,-169.92,Scenic Matavai Resort Niue
382,Nome,US,63.0,clear sky,64.5,-165.41,Dredge 7 Inn
383,Yeppoon,AU,57.2,overcast clouds,-23.13,150.73,Villa Mar Colina
385,Agirish,RU,63.97,clear sky,61.92,63.02,
386,Maceio,BR,78.8,broken clouds,-9.67,-35.74,Hotel Ponta Verde Maceió
388,Gulu,UG,65.34,overcast clouds,2.77,32.3,ACHOLI INN
389,Jiangkou,CN,82.4,overcast clouds,25.49,119.2,DFM Hotel
390,Leh,IN,60.22,few clouds,34.17,77.58,Hotel Ladakh Greens
395,San Cristobal,VE,84.2,shower rain,7.77,-72.22,Pirineos
397,Aosta,IT,80.01,clear sky,45.77,7.42,Express Hotel Aosta
398,Manzil Salim,TN,86.0,scattered clouds,35.86,8.48,mohamed ben khlil omri
399,Abu Samrah,SY,76.15,clear sky,35.3,37.18,
400,Bairiki,KI,82.4,scattered clouds,1.33,172.98,Fema Lodge
401,Saint-Augustin,CA,71.56,overcast clouds,51.23,-58.65,
402,Itacarambi,BR,83.86,clear sky,-15.1,-44.09,POUSADA CAMALEÃO
403,Lewiston,US,79.0,scattered clouds,44.1,-70.21,Hilton Garden Inn Auburn Riverwatch
404,Hovd,MN,67.14,broken clouds,48.01,91.64,Hotel Khovd
405,Lompoc,US,75.99,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
406,Shikhazany,RU,66.2,scattered clouds,55.56,47.39,
